State and County,1989,1979,1969,1959
"Lafayette County, FL","8,966","8,268","6,225","4,332"
"Lake County, FL","12,450","10,806","8,063","5,737"
"Lee County, FL","15,623","12,658","9,728","6,498"
"Leon County, FL","14,088","11,498","9,086","6,200"
"Levy County, FL","9,386","8,546","6,313","3,959"
"Liberty County, FL","11,500","7,926","5,545","3,677"
"Madison County, FL","9,727","7,046","5,637","3,304"
"Manatee County, FL","14,444","12,075","8,982","6,263"
"Marion County, FL","11,782","9,741","7,261","4,933"
"Martin County, FL","20,328","13,571","9,105","7,067"
"Monroe County, FL","18,869","12,995","8,881","6,530"
"Nassau County, FL","13,288","10,751","7,264","5,050"
"Okaloosa County, FL","13,147","10,761","8,255","6,094"
"Okeechobee County, FL","9,792","9,179","6,427","4,933"
"Orange County, FL","14,570","11,705","9,517","7,397"
"Osceola County, FL","12,268","10,146","7,626","5,203"
"Palm Beach County, FL","19,937","14,912","12,139","7,456"
"Pasco County, FL","11,732","10,160","7,349","5,239"
"Pinellas County, FL","15,712","12,752","10,361","7,546"
"Polk County, FL","12,392","10,800","8,076","6,278"
"Putnam County, FL","10,079","9,027","7,248","4,925"
"St. Johns County, FL","17,113","11,168","7,783","5,968"
"St. Lucie County, FL","13,387","10,825","7,324","6,039"
"Santa Rosa County, FL","12,656","10,150","7,689","5,352"
"Sarasota County, FL","18,441","14,158","11,424","8,276"
"Seminole County, FL","16,644","12,856","8,850","5,658"
"Sumter County, FL","9,920","8,635","5,942","4,097"
"Suwannee County, FL","9,768","8,224","7,179","3,665"
"Taylor County, FL","10,331","9,582","7,346","4,795"
"Union County, FL","9,648","6,205","4,538","3,347"
"Volusia County, FL","13,288","11,039","8,793","6,632"
"Wakulla County, FL","10,858","8,564","5,926","3,524"
"Walton County, FL","11,290","8,744","6,445","4,006"
"Washington County, FL","8,794","7,584","5,470","3,394"
,,,,
Georgia,"$13,631.00","$10,691.00","$8,309.00","$5,333.00"
"Appling County, GA","9,901","7,614","5,275","2,978"
"Atkinson County, GA","7,902","6,441","4,538","2,370"
"Bacon County, GA","9,137","7,604","5,712","3,437"
"Baker County, GA","8,667","7,425","3,909","2,135"
"Baldwin County, GA","10,358","9,355","5,857","3,335"
"Banks County, GA","10,741","9,211","5,794","3,649"
"Barrow County, GA","11,156","9,307","7,150","4,591"
"Bartow County, GA","11,748","9,555","7,827","4,713"
"Ben Hill County, GA","9,300","8,517","6,458","4,175"
"Berrien County, GA","9,403","8,568","5,951","3,418"
"Bibb County, GA","13,017","10,284","8,469","6,243"
"Bleckley County, GA","10,775","9,250","6,225","3,751"
"Brantley County, GA","9,089","7,549","6,049","3,182"
"Brooks County, GA","8,522","6,929","5,212","2,888"
"Bryan County, GA","11,083","8,182","5,951","3,194"
"Bulloch County, GA","9,635","8,348","6,194","3,826"
"Burke County, GA","8,185","7,529","4,759","2,468"
"Butts County, GA","10,321","8,987","6,584","3,869"
"Calhoun County, GA","8,244","6,823","4,548","2,766"
"Camden County, GA","11,710","9,055","7,012","4,964"
"Candler County, GA","9,293","7,897","5,706","2,939"
"Carroll County, GA","11,239","9,149","7,412","4,591"
"Catoosa County, GA","11,059","9,918","8,069","5,262"
"Charlton County, GA","8,894","7,547","5,917","3,857"
"Chatham County, GA","12,983","10,699","8,365","5,937"
"Chattahoochee County, GA","8,673","8,072","7,764","6,930"
"Chattooga County, GA","9,281","8,469","7,254","4,411"
"Cherokee County, GA","14,849","10,625","7,616","4,191"
"Clarke County, GA","11,604","10,376","8,513","5,808"
"Clay County, GA","7,678","6,843","9,659","3,591"
"Clayton County, GA","13,577","12,246","10,011","6,224"
"Clinch County, GA","8,354","7,376","5,681","3,249"
"Cobb County, GA","19,166","14,377","10,826","6,914"
"Coffee County, GA","10,170","7,733","6,200","3,508"
"Colquitt County, GA","9,878","8,526","6,414","4,057"
"Columbia County, GA","15,372","11,292","7,248","3,877"
"Cook County, GA","8,870","7,934","5,951","3,622"
"Coweta County, GA","13,708","10,597","7,374","4,787"
"Crawford County, GA","10,003","8,055","4,560","2,912"
"Crisp County, GA","9,248","8,742","6,386","3,865"
"Dade County, GA","9,360","8,383","5,923","3,885"
"Dawson County, GA","12,198","8,519","5,989","2,633"
"Decatur County, GA","9,246","8,159","5,366","3,806"
"DeKalb County, GA","17,115","14,148","11,777","8,382"
"Dodge County, GA","8,643","7,735","6,637","3,642"
"Dooly County, GA","8,413","6,786","5,127","2,763"
"Dougherty County, GA","10,888","10,034","7,752","5,443"
"Douglas County, GA","14,096","10,925","8,331","4,748"
"Early County, GA","8,280","7,849","5,312","2,405"
"Echols County, GA","8,915","7,160","5,558","3,226"
"Effingham County, GA","10,865","9,091","6,807","3,767"
"Elbert County, GA","9,288","8,417","6,549","4,014"
"Emanuel County, GA","8,535","7,968","6,005","3,677"
"Evans County, GA","9,792","7,815","5,382","3,461"
"Fannin County, GA","9,430","7,825","5,844","3,842"
"Fayette County, GA","19,025","14,716","8,711","4,124"
"Floyd County, GA","12,121","10,419","8,236","5,749"
"Forsyth County, GA","15,763","11,153","7,434","3,779"
"Franklin County, GA","10,390","8,316","6,480","3,775"
"Fulton County, GA","18,452","12,754","10,867","7,617"
"Gilmer County, GA","9,676","8,264","5,885","3,076"
"Glascock County, GA","9,585","9,032","5,731","2,708"
"Glynn County, GA","14,055","11,462","8,051","5,749"
"Gordon County, GA","11,587","9,335","7,708","4,218"
"Grady County, GA","9,200","7,403","5,599","3,249"
"Greene County, GA","9,390","7,219","5,460","3,292"
"Gwinnett County, GA","17,881","13,687","9,095","4,905"
"Habersham County, GA","10,950","9,000","6,688","4,328"
"Hall County, GA","13,356","10,840","7,918","5,184"
"Hancock County, GA","7,345","6,327","4,271","2,433"
"Haralson County, GA","9,939","9,092","7,415","4,866"
"Harris County, GA","13,135","10,399","6,537","4,054"
"Hart County, GA","11,187","8,472","6,392","3,940"
"Heard County, GA","9,218","8,752","6,115","3,304"
"Henry County, GA","14,167","11,490","7,512","4,171"
"Houston County, GA","12,939","11,232","8,781","6,102"
"Irwin County, GA","10,057","8,067","5,788","2,900"
"Jackson County, GA","10,885","9,050","6,789","4,383"
"Jasper County, GA","10,761","8,843","5,737","3,241"
"Jeff Davis County, GA","9,632","8,533","5,785","3,583"
"Jefferson County, GA","8,317","7,009","5,209","2,845"
"Jenkins County, GA","8,391","6,890","5,010","3,135"
"Johnson County, GA","8,550","7,621","5,146","3,555"
"Jones County, GA","13,543","9,774","7,154","3,441"
