State and County,1989,1979,1969,1959
"Warren County, MS","10,861","10,503","7,081","4,807"
"Washington County, MS","8,704","7,825","5,876","4,269"
"Wayne County, MS","7,545","7,257","5,089","3,127"
"Webster County, MS","8,354","8,139","4,938","2,786"
"Wilkinson County, MS","6,670","6,032","4,151","2,370"
"Winston County, MS","8,907","7,720","5,530","3,120"
"Yalobusha County, MS","8,049","7,418","5,143","2,986"
"Yazoo County, MS","7,786","7,644","5,133","3,202"
,,,,
Missouri,"$12,989.00","$11,591.00","$9,291.00","$6,871.00"
"Adair County, MO","9,197","9,892","7,780","5,250"
"Andrew County, MO","10,984","10,500","7,811","5,290"
"Atchison County, MO","10,042","10,448","8,372","5,364"
"Audrain County, MO","11,310","10,930","8,346","6,125"
"Barry County, MO","9,465","8,930","6,773","4,544"
"Barton County, MO","10,229","9,077","7,025","4,536"
"Bates County, MO","9,598","9,950","7,733","5,050"
"Benton County, MO","9,112","9,528","6,807","4,293"
"Bollinger County, MO","8,757","7,304","5,438","3,398"
"Boone County, MO","12,707","11,633","9,325","6,565"
"Buchanan County, MO","11,193","10,827","8,617","7,063"
"Butler County, MO","9,000","8,452","6,505","4,344"
"Caldwell County, MO","9,491","9,424","6,820","4,360"
"Callaway County, MO","11,024","10,540","7,289","4,940"
"Camden County, MO","12,403","9,871","7,402","4,709"
"Cape Girardeau County, MO","11,858","10,994","8,296","6,047"
"Carroll County, MO","10,102","10,267","7,566","5,286"
"Carter County, MO","7,470","7,174","7,336","3,281"
"Cass County, MO","12,991","12,043","8,384","5,866"
"Cedar County, MO","8,864","8,933","6,011","4,740"
"Chariton County, MO","10,589","10,528","6,833","4,646"
"Christian County, MO","10,862","9,836","7,003","4,493"
"Clark County, MO","8,849","9,565","6,612","4,560"
"Clay County, MO","15,369","13,994","10,719","8,036"
"Clinton County, MO","11,492","10,781","7,925","5,317"
"Cole County, MO","13,918","12,028","9,618","6,698"
"Cooper County, MO","10,006","9,948","8,542","5,678"
"Crawford County, MO","9,284","8,836","7,103","4,524"
"Dade County, MO","9,490","9,432","6,005","3,755"
"Dallas County, MO","8,530","8,209","5,451","3,673"
"Daviess County, MO","9,008","10,037","6,556","4,415"
"DeKalb County, MO","9,047","9,332","7,172","4,532"
"Dent County, MO","9,033","8,477","6,889","4,112"
"Douglas County, MO","8,899","7,331","5,234","3,281"
"Dunklin County, MO","9,028","8,120","6,062","4,042"
"Franklin County, MO","11,606","10,528","8,230","5,910"
"Gasconade County, MO","10,774","9,888","7,276","5,066"
"Gentry County, MO","9,535","8,749","6,981","4,744"
"Greene County, MO","12,468","11,172","8,752","6,514"
"Grundy County, MO","9,858","9,612","7,711","5,262"
"Harrison County, MO","10,118","9,528","6,581","4,301"
"Henry County, MO","9,835","10,399","7,689","5,427"
"Hickory County, MO","8,583","7,708","6,383","3,928"
"Holt County, MO","9,757","9,349","8,699","4,995"
"Howard County, MO","9,854","9,685","6,892","5,117"
"Howell County, MO","8,776","7,810","6,578","4,269"
"Iron County, MO","8,232","8,387","6,361","4,356"
"Jackson County, MO","13,712","12,752","10,509","8,315"
"Jasper County, MO","10,621","10,096","8,060","6,071"
"Jefferson County, MO","12,226","11,130","8,570","6,345"
"Johnson County, MO","10,202","9,372","7,516","5,305"
"Knox County, MO","9,048","9,258","6,848","4,772"
"Laclede County, MO","9,522","8,859","7,065","4,674"
"Lafayette County, MO","11,470","10,991","8,526","5,686"
"Lawrence County, MO","9,672","8,692","7,427","4,976"
"Lewis County, MO","9,298","9,464","7,544","5,235"
"Lincoln County, MO","11,123","10,262","7,481","5,215"
"Linn County, MO","9,391","10,227","7,556","5,125"
"Livingston County, MO","11,316","10,994","8,435","5,058"
"Macon County, MO","8,409","7,991","6,376","3,908"
"Madison County, MO","9,976","10,213","7,808","4,803"
"Maries County, MO","8,560","8,132","6,710","4,548"
"Marion County, MO","9,426","8,507","6,458","3,802"
"McDonald County, MO","10,110","10,346","8,170","5,965"
"Mercer County, MO","9,132","8,652","7,166","4,085"
"Miller County, MO","9,356","8,906","7,223","4,827"
"Mississippi County, MO","8,945","7,986","5,457","3,685"
"Moniteau County, MO","10,172","9,337","6,927","4,677"
"Monroe County, MO","9,444","9,339","6,782","4,768"
"Montgomery County, MO","10,128","9,464","7,689","4,882"
"Morgan County, MO","9,867","8,588","6,811","4,666"
"New Madrid County, MO","9,034","7,946","5,618","3,222"
"Newton County, MO","11,136","9,494","7,415","5,380"
"Nodaway County, MO","9,268","9,575","7,509","4,662"
"Oregon County, MO","7,622","6,904","5,058","3,802"
"Osage County, MO","10,032","9,139","7,147","4,364"
"Ozark County, MO","8,611","7,574","5,338","3,500"
"Pemiscot County, MO","7,709","7,425","5,652","3,665"
"Perry County, MO","10,370","8,703","6,345","4,301"
"Pettis County, MO","11,010","10,716","7,840","5,835"
"Phelps County, MO","10,531","9,595","8,139","5,372"
"Pike County, MO","9,887","10,146","8,025","5,129"
"Platte County, MO","16,737","14,557","10,987","7,099"
"Polk County, MO","8,873","8,563","6,445","4,046"
"Pulaski County, MO","9,159","8,269","7,855","7,271"
"Putnam County, MO","9,025","8,772","6,323","3,771"
"Ralls County, MO","10,554","10,485","7,569","4,999"
"Randolph County, MO","10,855","10,024","7,909","5,792"
"Ray County, MO","11,213","11,187","8,293","5,631"
"Reynolds County, MO","8,667","7,799","5,416","4,328"
"Ripley County, MO","7,295","6,564","4,957","3,343"
"Saline County, MO","15,366","12,868","9,316","6,592"
"Schuyler County, MO","9,097","8,363","6,637","3,944"
"Scotland County, MO","10,775","9,824","6,946","4,893"
"Scott County, MO","9,585","9,273","7,399","5,164"
"Shannon County, MO","18,625","15,440","12,573","10,049"
"Shelby County, MO","10,624","10,044","8,246","5,541"
"Ste. Genevieve County, MO","9,059","8,806","5,989","3,740"
"Stoddard County, MO","8,581","9,067","6,373","4,838"
"Stone County, MO","9,907","9,325","7,500","5,097"
"St. Charles County, MO","7,720","6,865","5,552","3,386"
"St. Clair County, MO","9,545","9,174","7,459","5,038"
"St. Francois County, MO","9,644","8,539","6,260","4,085"
"St. Louis County, MO","11,173","9,233","7,638","4,187"
"Sullivan County, MO","9,193","8,732","7,638","4,407"
"Taney County, MO","11,198","9,727","7,195","4,568"
"Texas County, MO","8,507","7,874","6,206","4,026"
"Vernon County, MO","9,587","9,875","6,763","4,803"
"Warren County, MO","11,640","11,383","8,117","5,517"
"Washington County, MO","7,650","7,606","5,615","3,751"
"Wayne County, MO","8,434","7,514","5,662","3,500"
"Webster County, MO","9,116","8,888","6,206","3,814"
"Worth County, MO","8,475","8,559","8,214","3,826"
"Wright County, MO","7,692","8,104","5,753","3,881"
,,,,
INDEPENDENT CITY:,,,,
"St. Louis city, MO","$10,798.00","$9,848.00","$8,579.00","$7,067.00"
,,,,
Montana,"$11,213.00","$11,041.00","$8,485.00","$6,588.00"
"Beaverhead County, MT","10,376","9,908","8,268","6,651"
"Big Horn County, MT","7,148","8,139","6,593","4,878"
"Blaine County, MT","8,290","8,437","6,615","5,172"
"Broadwater County, MT","10,125","9,372","7,220","5,396"
"Carbon County, MT","10,727","9,598","7,824","5,407"
"Carter County, MT","10,670","8,549","9,612","6,071"
"Cascade County, MT","12,011","11,661","9,001","7,585"
"Chouteau County, MT","11,290","11,200","9,964","7,299"
"Custer County, MT","10,310","10,915","8,825","6,486"
"Daniels County, MT","9,963","10,064","8,107","5,023"
"Dawson County, MT","10,629","11,142","9,678","6,184"
"Deer Lodge County, MT","9,444","10,423","7,201","5,411"
"Fallon County, MT","10,308","11,041","7,676","5,317"
"Fergus County, MT","10,995","9,449","8,409","5,921"
"Flathead County, MT","11,718","11,219","8,051","6,526"
"Gallatin County, MT","12,252","10,823","8,592","6,349"
"Garfield County, MT","9,843","9,215","7,723","4,823"
"Glacier County, MT","7,458","8,985","6,669","5,784"
"Golden Valley County, MT","8,505","7,499","9,149","5,564"
"Granite County, MT","10,049","9,794","7,868","5,870"
"Hill County, MT","11,121","11,683","8,460","8,653"
"Jefferson County, MT","13,233","10,597","6,697","5,309"
"Judith Basin County, MT","12,060","9,836","7,434","6,863"
"Lake County, MT","9,274","9,065","6,814","4,866"
"Lewis and Clark County, MT","12,342","12,172","10,121","7,962"
"Liberty County, MT","10,544","11,557","8,925","9,233"
"Lincoln County, MT","9,813","9,654","8,856","6,153"
"McCone County, MT","9,347","7,953","9,542","4,984"
"Madison County, MT","10,718","9,359","9,722","5,576"
"Meagher County, MT","9,201","9,809","7,191","6,302"
"Mineral County, MT","9,440","9,975","7,833","6,667"
"Missoula County, MT","11,944","12,159","9,253","7,134"
"Musselshell County, MT","8,941","8,960","6,836","5,965"
"Park County, MT","11,378","11,054","8,249","6,541"
"Petroleum County, MT","9,876","9,220","7,386","6,094"
"Phillips County, MT","10,793","8,645","7,534","5,396"
"Pondera County, MT","9,811","11,162","7,752","5,910"
"Powder River County, MT","12,722","10,930","9,146","6,851"
"Powell County, MT","9,978","9,488","8,296","6,420"
"Prairie County, MT","8,497","7,185","8,044","5,556"
"Ravalli County, MT","10,130","9,514","7,283","4,980"
"Richland County, MT","10,091","11,557","7,698","5,195"
"Roosevelt County, MT","7,751","9,620","7,128","5,117"
"Rosebud County, MT","10,415","10,356","6,930","5,274"
"Sanders County, MT","9,459","9,253","7,708","6,420"
"Sheridan County, MT","10,001","11,359","9,114","5,286"
"Silver Bow County, MT","11,364","10,971","8,482","6,341"
"Stillwater County, MT","10,975","9,354","7,991","5,937"
"Sweet Grass County, MT","10,838","9,533","8,211","5,721"
"Teton County, MT","10,772","10,171","8,907","6,639"
"Toole County, MT","11,375","11,158","8,239","7,420"
"Treasure County, MT","10,244","8,727","8,309","4,823"
"Valley County, MT","10,529","10,367","7,827","6,428"
"Wheatland County, MT","8,656","9,444","7,626","6,581"
"Wibaux County, MT","9,338","8,224","7,128","4,199"
"Yellowstone County, MT","12,416","12,735","8,960","7,632"
"Yellowstone National Park, MT","7,925","14,099","7,459",(NA)
,,,,
Nebraska,"$12,452.00","$11,622.00","$8,803.00","$6,392.00"
"Adams County, NE","12,650","11,576","9,095","6,227"
"Antelope County, NE","9,221","8,181","6,760","4,136"
"Arthur County, NE","9,094","11,056","5,888","7,275"
"Banner County, NE","9,120","9,339","9,486","6,169"
"Blaine County, NE","9,681","7,861","7,251","4,897"
"Boone County, NE","10,062","9,506","7,021","4,144"
"Box Butte County, NE","11,880","12,777","7,541","6,282"
"Boyd County, NE","8,979","7,611","5,095","3,245"
"Brown County, NE","9,209","9,189","6,823","5,843"
"Buffalo County, NE","11,190","10,801","7,733","5,560"
"Burt County, NE","10,030","10,196","8,164","5,168"
"Butler County, NE","11,662","9,878","7,289","4,328"
"Cass County, NE","11,792","11,053","7,903","5,717"
"Cedar County, NE","8,978","8,838","5,209","3,712"
"Chase County, NE","10,011","9,136","6,962","5,411"
"Cherry County, NE","10,758","11,390","8,372","6,188"
"Cheyenne County, NE","11,517","11,403","7,626","6,804"
"Clay County, NE","10,511","10,049","7,698","5,070"
"Colfax County, NE","10,180","10,062","7,453","4,811"
"Cuming County, NE","10,171","10,252","7,122","4,415"
"Custer County, NE","11,116","10,096","8,063","4,948"
"Dakota County, NE","10,635","10,852","8,161","5,733"
"Dawes County, NE","9,357","10,106","7,195","5,761"
"Dawson County, NE","10,849","11,202","8,705","5,537"
"Deuel County, NE","10,434","11,014","9,448","6,337"
"Dixon County, NE","9,074","8,901","7,185","4,038"
"Dodge County, NE","11,638","11,847","9,023","6,534"
"Douglas County, NE","14,644","13,085","10,414","8,378"
"Dundy County, NE","10,894","10,156","8,711","4,976"
"Fillmore County, NE","11,961","10,624","8,642","4,905"
"Franklin County, NE","10,968","9,840","7,638","4,395"
"Frontier County, NE","9,611","10,248","6,977","4,501"
"Furnas County, NE","9,432","9,092","7,276","5,007"
"Gage County, NE","11,099","10,706","7,582","5,137"
"Garden County, NE","10,135","11,011","6,518","5,937"
"Garfield County, NE","9,043","8,573","7,877","4,481"
"Gosper County, NE","11,738","9,695","7,475","4,689"
"Grant County, NE","10,273","9,248","12,324","7,240"
"Greeley County, NE","8,595","7,619","6,140","3,673"
"Hall County, NE","11,526","11,994","9,202","6,494"
"Hamilton County, NE","11,103","10,939","7,528","5,113"
"Harlan County, NE","9,721","9,612","7,283","5,333"
"Hayes County, NE","13,871","8,776","6,052","4,670"
"Hitchcock County, NE","10,689","9,397","7,188","5,101"
"Holt County, NE","10,164","8,559","6,351","4,364"
"Hooker County, NE","9,381","8,326","8,101","6,259"
"Howard County, NE","9,551","9,491","6,669","4,454"
"Jefferson County, NE","11,126","10,589","7,575","5,066"
"Johnson County, NE","11,229","9,303","6,946","4,348"
"Kearney County, NE","11,751","11,276","9,064","5,564"
"Keith County, NE","10,771","11,266","8,630","6,310"
"Keya Paha County, NE","7,907","10,007","6,361","5,972"
"Kimball County, NE","11,105","10,966","8,749","7,609"
"Knox County, NE","9,881","8,404","5,813","4,101"
"Lancaster County, NE","13,803","12,811","9,926","7,515"
"Lincoln County, NE","12,091","12,943","8,268","6,318"
"Logan County, NE","9,186","7,400","7,972","5,635"
"Loup County, NE","8,817","9,116","8,970","4,764"
"McPherson County, NE","10,601","11,075","5,357","4,532"
"Madison County, NE","11,054","11,629","8,422","5,498"
"Merrick County, NE","10,194","10,084","7,525","5,070"
"Morrill County, NE","10,102","8,464","6,370","5,580"
"Nance County, NE","8,936","8,212","6,974","4,360"
"Nemaha County, NE","11,343","10,763","8,488","4,568"
"Nuckolls County, NE","9,862","9,987","6,936","4,760"
"Otoe County, NE","10,990","11,173","8,372","5,839"
"Pawnee County, NE","9,316","8,393","6,666","4,128"
"Perkins County, NE","9,933","10,019","9,662","6,259"
"Phelps County, NE","12,837","12,051","9,527","6,035"
"Pierce County, NE","10,430","9,131","6,373","4,120"
"Platte County, NE","11,566","11,388","8,287","5,584"
"Polk County, NE","11,377","10,089","8,479","4,764"
"Red Willow County, NE","11,146","11,797","8,154","6,785"
"Richardson County, NE","9,943","9,741","7,588","5,301"
"Rock County, NE","9,396","9,885","6,505","4,709"
"Saline County, NE","10,732","11,430","8,353","5,211"
"Sarpy County, NE","13,284","11,676","8,787","7,201"
"Saunders County, NE","11,115","10,761","7,591","5,015"
"Scotts Bluff County, NE","10,644","10,537","8,006","6,345"
"Seward County, NE","11,154","10,610","8,016","4,980"
"Sheridan County, NE","10,891","11,068","8,044","5,611"
"Sherman County, NE","8,176","7,485","6,269","3,928"
"Sioux County, NE","11,001","10,872","6,490","6,055"
"Stanton County, NE","9,861","9,954","6,622","4,269"
"Thayer County, NE","10,172","10,310","7,050","4,344"
"Thomas County, NE","7,865","10,083","6,172","6,306"
"Thurston County, NE","7,940","8,224","5,901","4,148"
"Valley County, NE","9,589","9,380","6,905","4,442"
"Washington County, NE","13,132","11,654","8,416","5,588"
"Wayne County, NE","9,128","9,915","6,899","4,823"
"Webster County, NE","9,339","9,649","6,836","4,944"
"Wheeler County, NE","10,329","8,062","5,309","4,140"
"York County, NE","11,434","11,664","8,633","5,498"
,,,,
Nevada,"$15,214.00","$14,164.00","$11,185.00","$9,245.00"
"Churchill County, NV","12,611","10,803","8,982","6,616"
"Clark County, NV","15,109","13,839","11,135","9,508"
"Douglas County, NV","17,620","17,958","13,218","10,505"
"Elko County, NV","14,050","12,170","9,722","7,907"
"Esmeralda County, NV","12,776","12,417","10,877","8,613"
"Eureka County, NV","14,474","9,741","7,928","6,651"
"Humboldt County, NV","13,544","11,522","9,457","8,189"
"Lander County, NV","13,167","12,155","8,368","6,569"
"Lincoln County, NV","9,074","9,354","8,044","4,732"
"Lyon County, NV","11,704","11,832","9,476","6,934"
"Mineral County, NV","11,785","10,310","10,071","6,773"
"Nye County, NV","15,454","12,013","12,098","9,296"
"Pershing County, NV",(NA),(NA),(NA),"8,221"
"Storey County, NV","11,488","11,044","9,675","9,363"
"Washoe County, NV","15,623","13,685","11,387","6,722"
"White Pine County, NV","16,365","15,904","12,139","10,308"
,,,,
INDEPENDENT CITY:,,,,
"Carson City, NV","$15,131.00","$13,653.00","$11,302.00",(NA)
,,,,
New Hampshire,"$15,959.00","$11,673.00","$9,394.00","$7,040.00"
"Belknap County, NH","14,439","10,981","9,646","7,232"
"Carroll County, NH","14,041","11,158","8,730","6,224"
"Cheshire County, NH","13,887","11,019","9,438","7,228"
"Coos County, NH","11,963","9,628","7,824","6,412"
"Grafton County, NH","13,611","10,729","9,445","6,565"
"Hillsborough County, NH","17,404","12,383","9,709","7,385"
"Merrimack County, NH","16,057","11,596","9,552","6,989"
"Rockingham County, NH","17,694","12,475","9,558","7,161"
"Strafford County, NH","13,999","10,572","8,844","7,012"
"Sullivan County, NH","12,935","10,868","8,966","6,341"
,,,,
New Jersey,"$18,714.00","$13,618.00","$11,563.00","$8,868.00"
"Atlantic County, NJ","16,016","12,055","9,643","7,052"
"Bergen County, NJ","24,080","17,072","14,251","10,677"
"Burlington County, NJ","17,707","12,854","10,367","7,825"
"Camden County, NJ","15,773","12,196","10,521","8,201"
"Cape May County, NJ","15,536","11,862","9,652","6,910"
"Cumberland County, NJ","12,560","10,108","9,070","6,887"
"Essex County, NJ","17,574","12,631","11,767","9,630"
"Gloucester County, NJ","15,207","11,628","9,542","7,330"
"Hudson County, NJ","14,480","10,852","10,058","8,005"
"Hunterdon County, NJ","23,236","15,363","11,402","8,005"
"Mercer County, NJ","18,936","13,565","11,412","8,692"
"Middlesex County, NJ","18,714","14,004","11,075","8,138"
"Monmouth County, NJ","20,565","14,309","11,421","8,135"
"Morris County, NJ","25,177","16,604","13,001","9,932"
"Ocean County, NJ","15,598","11,745","9,690","7,236"
"Passaic County, NJ","16,048","12,088","10,908","8,205"
"Salem County, NJ","13,961","11,250","9,719","7,424"
"Somerset County, NJ","25,111","16,963","12,869","9,359"
"Sussex County, NJ","18,566","12,995","10,367","7,499"
"Union County, NJ","19,660","15,133","13,187","10,316"
"Warren County, NJ","16,716","12,506","9,958","6,949"
,,,,
New Mexico,"$11,246.00","$10,253.00","$7,670.00","$6,275.00"
"Bernalillo County, NM","13,594","11,959","9,010","7,617"
"Catron County, NM","8,537","7,867","7,465","5,486"
"Chaves County, NM","10,550","9,766","7,638","6,800"
"Cibola County, NM","6,803","10,207",(NA),(NA)
"Colfax County, NM","10,076","9,241","6,911","5,509"
"Curry County, NM","9,843","9,990","7,922","6,282"
"DeBaca County, NM","8,896","8,692","7,538","4,991"
"Dona Ana County, NM","9,374","8,854","7,031","5,902"
"Eddy County, NM","10,490","10,150","7,748","6,702"
"Grant County, NM","9,381","9,556","7,342","5,435"
"Guadalupe County, NM","6,529","6,451","5,155","3,877"
"Harding County, NM","9,731","8,826","7,103","4,375"
"Hidalgo County, NM","10,092","8,784","6,052","5,604"
"Lea County, NM","10,025","11,597","8,460","7,330"
"Lincoln County, NM","10,701","10,704","7,950","5,725"
"Los Alamos County, NM","22,900","17,497","13,942","10,289"
"Luna County, NM","8,116","8,026","6,530","5,835"
"McKinley County, NM","6,628","7,031","5,404","4,132"
"Mora County, NM","7,021","5,704","3,298","2,327"
"Otero County, NM","10,053","9,013","7,673","7,016"
"Quay County, NM","9,461","9,318","7,390","5,192"
"Rio Arriba County, NM","7,859","6,597","4,784","3,488"
"Roosevelt County, NM","9,254","8,680","7,012","6,169"
"Sandoval County, NM","10,849","8,559","4,856","2,657"
"San Juan County, NM","8,911","9,739","6,848","5,976"
"San Miguel County, NM","8,149","6,542","4,746","3,485"
"Santa Fe County, NM","15,327","11,475","8,161","6,090"
"Sierra County, NM","10,124","7,770","6,508","5,541"
"Socorro County, NM","9,154","7,489","5,589","4,242"
"Taos County, NM","9,158","7,730","5,404","2,829"
"Torrance County, NM","8,950","7,861","5,656","4,057"
"Union County, NM","10,603","9,982","6,955","5,494"
"Valencia County, NM","10,244","9,409","6,200","5,592"
,,,,
New York,"$16,501.00","$12,561.00","$11,355.00","$8,774.00"
"Albany County, NY","16,363","12,732","11,298","7,997"
"Allegany County, NY","9,907","8,682","7,890","5,639"
"Bronx County, NY","10,535","8,953","9,152","7,813"
"Broome County, NY","13,626","11,514","9,898","7,931"
"Cattaraugus County, NY","10,595","9,404","8,114","6,447"
"Cayuga County, NY","11,671","9,947","8,460","6,302"
"Chautauqua County, NY","11,287","10,357","8,778","7,004"
"Chemung County, NY","12,069","10,478","8,951","7,001"
"Chenango County, NY","11,830","9,580","8,655","6,475"
"Clinton County, NY","11,444","8,953","7,585","5,882"
"Columbia County, NY","14,044","10,716","8,891","6,793"
"Cortland County, NY","11,228","9,426","8,696","6,804"
"Delaware County, NY","11,180","9,513","8,372","5,984"
"Dutchess County, NY","17,420","12,666","10,417","7,420"
"Erie County, NY","13,560","11,887","10,143","7,966"
"Essex County, NY","11,354","9,716","8,261","6,055"
"Franklin County, NY","9,771","8,853","7,119","5,556"
"Fulton County, NY","11,330","10,009","8,866","7,095"
"Genesee County, NY","12,705","11,188","9,341","7,134"
"Greene County, NY","12,722","10,071","8,551","6,192"
"Hamilton County, NY","11,682","9,164","7,575","6,102"
"Herkimer County, NY","10,543","9,469","9,029","6,702"
"Jefferson County, NY","11,160","9,387","8,302","6,424"
"Kings County, NY","12,388","9,642","9,577","7,734"
"Lewis County, NY","10,455","8,906","7,320","5,403"
"Livingston County, NY","12,585","10,396","9,187","6,306"
"Madison County, NY","12,334","9,989","8,671","6,565"
"Monroe County, NY","16,162","13,898","12,025","9,010"
"Montgomery County, NY","11,640","10,091","9,020","6,793"
"Nassau County, NY","23,352","16,705","14,616","11,278"
"New York County, NY","27,862","18,057","16,403","11,423"
"Niagara County, NY","12,710","11,688","9,665","7,978"
"Oneida County, NY","12,227","10,302","9,256","7,271"
"Onondaga County, NY","14,703","12,209","10,656","8,366"
"Ontario County, NY","14,601","11,529","9,649","6,989"
"Orange County, NY","15,198","11,239","9,583","7,205"
"Orleans County, NY","11,776","10,949","9,473","6,777"
"Oswego County, NY","11,792","9,883","8,249","6,333"
"Otsego County, NY","11,657","9,303","8,331","6,031"
"Putnam County, NY","20,536","13,672","10,763","8,456"
"Queens County, NY","15,348","12,650","12,576","9,818"
"Rensselaer County, NY","14,031","10,602","9,498","7,071"
"Richmond County, NY","17,507","12,695","11,015","8,056"
"Rockland County, NY","20,195","14,458","11,771","8,284"
"St. Lawrence County, NY","10,346","8,834","7,720","5,972"
"Saratoga County, NY","15,644","11,535","9,454","6,742"
"Schenectady County, NY","15,378","12,517","11,100","8,664"
"Schoharie County, NY","11,333","8,970","8,000","5,651"
"Schuyler County, NY","10,825","9,350","8,318","5,965"
"Seneca County, NY","12,408","10,709","8,453","6,420"
"Steuben County, NY","11,933","10,468","8,696","6,753"
"Suffolk County, NY","18,481","12,695","10,543","7,711"
"Sullivan County, NY","12,567","9,819","9,306","7,020"
"Tioga County, NY","13,064","11,068","8,907","6,326"
"Tompkins County, NY","13,171","10,493","10,055","7,746"
"Ulster County, NY","14,921","11,108","9,505","7,252"
"Warren County, NY","14,378","10,366","8,913","7,197"
"Washington County, NY","12,221","9,104","7,874","6,102"
"Wayne County, NY","13,313","11,170","9,457","6,691"
"Westchester County, NY","25,584","17,767","15,922","12,761"
"Wyoming County, NY","10,552","9,628","8,403","6,082"
"Yates County, NY","11,065","10,014","8,727","5,796"
,,,,
North Carolina,"$12,885.00","$10,275.00","$7,786.00","$4,913.00"
"Alamance County, NC","13,290","10,274","9,218","6,290"
"Alexander County, NC","11,624","9,603","7,377","4,207"
"Alleghany County, NC","10,237","8,268","6,131","3,626"
"Anson County, NC","9,402","8,087","5,454","3,273"
"Ashe County, NC","9,545","7,795","5,404","3,049"
"Avery County, NC","9,729","7,666","5,470","3,131"
"Beaufort County, NC","10,722","8,702","6,436","3,269"
"Bertie County, NC","8,392","7,333","4,812","2,633"
"Bladen County, NC","9,497","7,564","5,139","2,810"
"Brunswick County, NC","11,688","8,916","6,335","3,171"
"Buncombe County, NC","13,211","10,657","8,353","5,972"
"Burke County, NC","11,604","9,855","7,865","4,905"
"Cabarrus County, NC","13,552","10,820","8,727","5,725"
"Caldwell County, NC","11,522","9,473","7,443","4,815"
"Camden County, NC","10,465","9,282","5,567","3,175"
"Carteret County, NC","13,227","10,299","7,575","5,297"
"Caswell County, NC","9,817","8,241","5,848","3,171"
"Catawba County, NC","13,764","11,180","9,149","5,863"
"Chatham County, NC","13,321","10,394","7,088","4,057"
"Cherokee County, NC","9,258","7,448","5,967","3,151"
"Chowan County, NC","10,606","8,717","6,080","3,339"
"Clay County, NC","9,456","7,938","5,171","2,511"
"Cleveland County, NC","11,875","9,893","7,456","4,552"
"Columbus County, NC","9,134","7,961","5,712","3,363"
"Craven County, NC","11,619","9,468","7,091","4,517"
"Cumberland County, NC","11,100","9,091","7,308","4,838"
"Currituck County, NC","12,630","8,824","6,590","4,038"
"Dare County, NC","15,107","11,767","8,123","4,536"
"Davidson County, NC","12,597","10,434","8,422","5,623"
"Davie County, NC","14,648","10,629","7,487","4,854"
"Duplin County, NC","9,406","7,797","5,803","2,841"
"Durham County, NC","15,030","11,442","9,058","6,357"
"Edgecombe County, NC","9,530","8,492","5,892","3,512"
"Forsyth County, NC","16,151","12,490","9,681","6,957"
"Franklin County, NC","10,959","8,104","6,058","3,041"
"Gaston County, NC","12,447","10,572","8,570","5,470"
"Gates County, NC","11,561","8,618","5,375","2,684"
"Graham County, NC","8,877","7,733","5,517","2,919"
"Granville County, NC","10,939","8,360","5,426","3,339"
"Greene County, NC","9,567","8,338","5,328","2,178"
"Guilford County, NC","15,373","12,444","9,958","7,012"
"Halifax County, NC","8,980","7,562","5,646","3,371"
"Harnett County, NC","10,053","8,484","6,254","3,567"
"Haywood County, NC","11,731","9,610","7,150","5,596"
"Henderson County, NC","13,702","10,744","7,575","5,348"
"Hertford County, NC","9,016","8,021","5,577","3,347"
"Hoke County, NC","8,688","7,514","5,234","2,919"
"Hyde County, NC","9,434","7,197","4,727","2,943"
"Iredell County, NC","13,000","10,264","8,073","5,078"
"Jackson County, NC","10,326","8,357","6,046","3,673"
"Johnston County, NC","11,839","8,886","6,134","3,229"
"Jones County, NC","8,832","7,475","5,161","2,547"
"Lee County, NC","12,042","10,590","7,393","4,980"
"Lenoir County, NC","10,647","9,084","7,012","4,010"
"Lincoln County, NC","12,440","10,151","8,079","4,548"
"McDowell County, NC","10,516","8,838","6,911","4,438"
"Macon County, NC","11,017","9,503","5,788","3,422"
"Madison County, NC","9,149","7,825","5,290","2,837"
"Martin County, NC","9,486","8,011","5,407","2,861"
"Mecklenburg County, NC","16,910","13,191","10,408","7,413"
"Mitchell County, NC","10,219","8,409","6,049","3,685"
"Montgomery County, NC","10,695","8,593","6,741","3,908"
"Moore County, NC","14,934","10,967","6,990","4,811"
"Nash County, NC","12,684","10,126","6,628","3,865"
"New Hanover County, NC","13,863","11,306","8,639","5,572"
"Northampton County, NC","8,244","7,725","4,620","2,645"
"Onslow County, NC","10,713","8,569","6,735","4,595"
"Orange County, NC","15,776","11,607","9,193","5,749"
"Pamlico County, NC","10,665","8,506","5,923","3,324"
"Pasquotank County, NC","10,718","8,841","6,700","4,552"
"Pender County, NC","11,460","8,378","5,391","2,751"
"Perquimans County, NC","9,821","7,579","5,143","3,084"
"Person County, NC","11,158","9,089","6,675","3,700"
"Pitt County, NC","11,642","9,345","6,619","3,481"
"Polk County, NC","14,213","10,845","7,352","5,290"
"Randolph County, NC","12,102","10,515","8,551","5,337"
"Richmond County, NC","9,841","9,203","6,833","4,438"
"Robeson County, NC","8,878","7,544","5,130","2,735"
"Rockingham County, NC","11,546","10,129","7,887","5,199"
"Rowan County, NC","12,018","10,582","8,422","5,686"
"Rutherford County, NC","11,287","9,248","7,424","4,579"
"Sampson County, NC","9,480","7,929","5,542","2,872"
"Scotland County, NC","9,768","9,107","6,398","3,335"
"Stanly County, NC","11,265","9,997","7,877","5,019"
